title,author,description,code,genre,cover_url
Consumer behavior,Del I. Hawkins,"Business and economics books are educational resources that delve into the realms of commerce, finance, management, and economic theories. They offer valuable insights for students, professionals, and those interested in understanding how businesses work and the functioning of economies.",BE000003,business__economics,https://covers.openlibrary.org/b/olid/OL3512399M-M.jpg
Adam Smith Review,Fonna Forman,"Business and economics books are educational resources that delve into the realms of commerce, finance, management, and economic theories. They offer valuable insights for students, professionals, and those interested in understanding how businesses work and the functioning of economies.",BE000004,business__economics,https://covers.openlibrary.org/b/olid/OL28805252M-M.jpg
Tax for Australians for dummies,Jimmy B. Prince,"Business and economics books are educational resources that delve into the realms of commerce, finance, management, and economic theories. They offer valuable insights for students, professionals, and those interested in understanding how businesses work and the functioning of economies.",BE000005,business__economics,https://covers.openlibrary.org/b/olid/OL25544115M-M.jpg
Plan your estate,Denis Clifford,"Business and economics books are educational resources that delve into the realms of commerce, finance, management, and economic theories. They offer valuable insights for students, professionals, and those interested in understanding how businesses work and the functioning of economies.",BE000006,business__economics,https://covers.openlibrary.org/b/olid/OL18200731M-M.jpg
"Ethics, law and society",Jennifer Gunning,"Business and economics books are educational resources that delve into the realms of commerce, finance, management, and economic theories. They offer valuable insights for students, professionals, and those interested in understanding how businesses work and the functioning of economies.",BE000007,business__economics,https://covers.openlibrary.org/b/olid/OL28334982M-M.jpg
Ecotourism,David A. Fennell,"Business and economics books are educational resources that delve into the realms of commerce, finance, management, and economic theories. They offer valuable insights for students, professionals, and those interested in understanding how businesses work and the functioning of economies.",BE000008,business__economics,https://covers.openlibrary.org/b/olid/OL28784923M-M.jpg
Advanced accounting,Floyd A. Beams,"Business and economics books are educational resources that delve into the realms of commerce, finance, management, and economic theories. They offer valuable insights for students, professionals, and those interested in understanding how businesses work and the functioning of economies.",BE000009,business__economics,https://covers.openlibrary.org/b/olid/OL4402905M-M.jpg
The world economy,David Greenaway,"Business and economics books are educational resources that delve into the realms of commerce, finance, management, and economic theories. They offer valuable insights for students, professionals, and those interested in understanding how businesses work and the functioning of economies.",BE000010,business__economics,https://covers.openlibrary.org/b/olid/OL27096314M-M.jpg
Test your entrepreneurial I.Q.,K. Hawkins,"An entrepreneurship book provides guidance and knowledge for individuals interested in starting, growing, or managing their own businesses. These books cover various aspects of entrepreneurship, including business planning, marketing, funding, and leadership. They offer practical advice, case studies, and strategies to help aspiring entrepreneurs succeed in the world of business.",ES000001,entrepreneurship,https://covers.openlibrary.org/b/olid/OL10215099M-M.jpg
Women and entrepreneurship,Candida G. Brush,"An entrepreneurship book provides guidance and knowledge for individuals interested in starting, growing, or managing their own businesses. These books cover various aspects of entrepreneurship, including business planning, marketing, funding, and leadership. They offer practical advice, case studies, and strategies to help aspiring entrepreneurs succeed in the world of business.",ES000002,entrepreneurship,https://covers.openlibrary.org/b/olid/OL11912123M-M.jpg
Management and Entrepreneurism (Smart Strategies),John Chicken,"An entrepreneurship book provides guidance and knowledge for individuals interested in starting, growing, or managing their own businesses. These books cover various aspects of entrepreneurship, including business planning, marketing, funding, and leadership. They offer practical advice, case studies, and strategies to help aspiring entrepreneurs succeed in the world of business.",ES000003,entrepreneurship,https://covers.openlibrary.org/b/olid/OL8630300M-M.jpg
Unsung Heroes of the American Industry,Mark Poirier,"An entrepreneurship book provides guidance and knowledge for individuals interested in starting, growing, or managing their own businesses. These books cover various aspects of entrepreneurship, including business planning, marketing, funding, and leadership. They offer practical advice, case studies, and strategies to help aspiring entrepreneurs succeed in the world of business.",ES000004,entrepreneurship,https://covers.openlibrary.org/b/olid/OL7962247M-M.jpg
World Encyclopedia Of Entrepreneurship,Leo Paul Dana,"An entrepreneurship book provides guidance and knowledge for individuals interested in starting, growing, or managing their own businesses. These books cover various aspects of entrepreneurship, including business planning, marketing, funding, and leadership. They offer practical advice, case studies, and strategies to help aspiring entrepreneurs succeed in the world of business.",ES000005,entrepreneurship,https://covers.openlibrary.org/b/olid/OL25987351M-M.jpg
Entrepreneurship,Paul H. Wilken,"An entrepreneurship book provides guidance and knowledge for individuals interested in starting, growing, or managing their own businesses. These books cover various aspects of entrepreneurship, including business planning, marketing, funding, and leadership. They offer practical advice, case studies, and strategies to help aspiring entrepreneurs succeed in the world of business.",ES000006,entrepreneurship,https://covers.openlibrary.org/b/olid/OL4402820M-M.jpg
Principles of Business,Salem Press,"An entrepreneurship book provides guidance and knowledge for individuals interested in starting, growing, or managing their own businesses. These books cover various aspects of entrepreneurship, including business planning, marketing, funding, and leadership. They offer practical advice, case studies, and strategies to help aspiring entrepreneurs succeed in the world of business.",ES000007,entrepreneurship,https://covers.openlibrary.org/b/olid/OL37277307M-M.jpg
Entrepreneurial wit & wisdom,Robert L. Qualls,"An entrepreneurship book provides guidance and knowledge for individuals interested in starting, growing, or managing their own businesses. These books cover various aspects of entrepreneurship, including business planning, marketing, funding, and leadership. They offer practical advice, case studies, and strategies to help aspiring entrepreneurs succeed in the world of business.",ES000008,entrepreneurship,https://covers.openlibrary.org/b/olid/OL2102362M-M.jpg
Creating a Culture of Innovation,Alexandra Deschamps-Sonsino,"An entrepreneurship book provides guidance and knowledge for individuals interested in starting, growing, or managing their own businesses. These books cover various aspects of entrepreneurship, including business planning, marketing, funding, and leadership. They offer practical advice, case studies, and strategies to help aspiring entrepreneurs succeed in the world of business.",ES000009,entrepreneurship,https://covers.openlibrary.org/b/olid/OL31935680M-M.jpg
The Effective Entrepreneur - a practical guide to leadership and management of others and self,John Caines,"An entrepreneurship book provides guidance and knowledge for individuals interested in starting, growing, or managing their own businesses. These books cover various aspects of entrepreneurship, including business planning, marketing, funding, and leadership. They offer practical advice, case studies, and strategies to help aspiring entrepreneurs succeed in the world of business.",ES000010,entrepreneurship,https://covers.openlibrary.org/b/olid/OL12294967M-M.jpg
24 Carat Bold The Standard For Real Thought Leaders,Mindy Gibbins-Klein,"An entrepreneurship book provides guidance and knowledge for individuals interested in starting, growing, or managing their own businesses. These books cover various aspects of entrepreneurship, including business planning, marketing, funding, and leadership. They offer practical advice, case studies, and strategies to help aspiring entrepreneurs succeed in the world of business.",ES000011,entrepreneurship,https://covers.openlibrary.org/b/olid/OL26072937M-M.jpg
International handbook of research on indigenous entrepreneurship,Leo Paul Dana,"An entrepreneurship book provides guidance and knowledge for individuals interested in starting, growing, or managing their own businesses. These books cover various aspects of entrepreneurship, including business planning, marketing, funding, and leadership. They offer practical advice, case studies, and strategies to help aspiring entrepreneurs succeed in the world of business.",ES000012,entrepreneurship,https://covers.openlibrary.org/b/olid/OL11906794M-M.jpg
The Hobbit,J.R.R. Tolkien,"Fantasy books are works of fiction set in imaginative and often magical worlds. They typically feature elements such as mythical creatures, supernatural powers, and epic adventures. These books offer readers an escape from reality into fantastical realms filled with unique characters and imaginative settings, making them popular for entertainment and exploration of complex themes through allegory and metaphor.",FAN00001,fantasy,https://covers.openlibrary.org/b/olid/OL28345239M-M.jpg
"The Magic of Oz: a faithful record of the remarkable adventures of Dorothy and Trot and the Wizard of Oz, together with the Cowardly Lion, the Hungry Tiger and Cap'n Bill, in their successful search for a magical and beautiful birthday present for Princess Ozma of Oz",L. Frank Baum,"Fantasy books are works of fiction set in imaginative and often magical worlds. They typically feature elements such as mythical creatures, supernatural powers, and epic adventures. These books offer readers an escape from reality into fantastical realms filled with unique characters and imaginative settings, making them popular for entertainment and exploration of complex themes through allegory and metaphor.",FAN00002,fantasy,https://covers.openlibrary.org/b/olid/OL13447442M-M.jpg
Prince Caspian,C. S. Lewis,"Fantasy books are works of fiction set in imaginative and often magical worlds. They typically feature elements such as mythical creatures, supernatural powers, and epic adventures. These books offer readers an escape from reality into fantastical realms filled with unique characters and imaginative settings, making them popular for entertainment and exploration of complex themes through allegory and metaphor.",FAN00003,fantasy,https://covers.openlibrary.org/b/olid/OL9222276M-M.jpg
The Marvelous Land of Oz: Being an Account of the Further Adventures of the Scarecrow and the Tin Woodman,L. Frank Baum,"Fantasy books are works of fiction set in imaginative and often magical worlds. They typically feature elements such as mythical creatures, supernatural powers, and epic adventures. These books offer readers an escape from reality into fantastical realms filled with unique characters and imaginative settings, making them popular for entertainment and exploration of complex themes through allegory and metaphor.",FAN00004,fantasy,https://covers.openlibrary.org/b/olid/OL7077661M-M.jpg
The hill of dreams,Arthur Machen,"Fantasy books are works of fiction set in imaginative and often magical worlds. They typically feature elements such as mythical creatures, supernatural powers, and epic adventures. These books offer readers an escape from reality into fantastical realms filled with unique characters and imaginative settings, making them popular for entertainment and exploration of complex themes through allegory and metaphor.",FAN00005,fantasy,https://covers.openlibrary.org/b/olid/OL7166875M-M.jpg
The princess and the goblin,George MacDonald,"Fantasy books are works of fiction set in imaginative and often magical worlds. They typically feature elements such as mythical creatures, supernatural powers, and epic adventures. These books offer readers an escape from reality into fantastical realms filled with unique characters and imaginative settings, making them popular for entertainment and exploration of complex themes through allegory and metaphor.",FAN00006,fantasy,https://covers.openlibrary.org/b/olid/OL48581846M-M.jpg
Sylvie and Bruno,Lewis Carroll,"Fantasy books are works of fiction set in imaginative and often magical worlds. They typically feature elements such as mythical creatures, supernatural powers, and epic adventures. These books offer readers an escape from reality into fantastical realms filled with unique characters and imaginative settings, making them popular for entertainment and exploration of complex themes through allegory and metaphor.",FAN00007,fantasy,https://covers.openlibrary.org/b/olid/OL7245466M-M.jpg
The Two Towers,J.R.R. Tolkien,"Fantasy books are works of fiction set in imaginative and often magical worlds. They typically feature elements such as mythical creatures, supernatural powers, and epic adventures. These books offer readers an escape from reality into fantastical realms filled with unique characters and imaginative settings, making them popular for entertainment and exploration of complex themes through allegory and metaphor.",FAN00008,fantasy,https://covers.openlibrary.org/b/olid/OL31879906M-M.jpg
The Lord of the Rings,J.R.R. Tolkien,"Fantasy books are works of fiction set in imaginative and often magical worlds. They typically feature elements such as mythical creatures, supernatural powers, and epic adventures. These books offer readers an escape from reality into fantastical realms filled with unique characters and imaginative settings, making them popular for entertainment and exploration of complex themes through allegory and metaphor.",FAN00009,fantasy,https://covers.openlibrary.org/b/olid/OL5237526M-M.jpg
The Enchanted Castle,Edith Nesbit,"Fantasy books are works of fiction set in imaginative and often magical worlds. They typically feature elements such as mythical creatures, supernatural powers, and epic adventures. These books offer readers an escape from reality into fantastical realms filled with unique characters and imaginative settings, making them popular for entertainment and exploration of complex themes through allegory and metaphor.",FAN00010,fantasy,https://covers.openlibrary.org/b/olid/OL22879417M-M.jpg
The Fellowship of the Ring,J.R.R. Tolkien,"Fantasy books are works of fiction set in imaginative and often magical worlds. They typically feature elements such as mythical creatures, supernatural powers, and epic adventures. These books offer readers an escape from reality into fantastical realms filled with unique characters and imaginative settings, making them popular for entertainment and exploration of complex themes through allegory and metaphor.",FAN00011,fantasy,https://covers.openlibrary.org/b/olid/OL15350842M-M.jpg
The Napoleon of Notting Hill,Gilbert Keith Chesterton,"Fantasy books are works of fiction set in imaginative and often magical worlds. They typically feature elements such as mythical creatures, supernatural powers, and epic adventures. These books offer readers an escape from reality into fantastical realms filled with unique characters and imaginative settings, making them popular for entertainment and exploration of complex themes through allegory and metaphor.",FAN00012,fantasy,https://covers.openlibrary.org/b/olid/OL23365952M-M.jpg
The Horse and His Boy,C. S. Lewis,"Fantasy books are works of fiction set in imaginative and often magical worlds. They typically feature elements such as mythical creatures, supernatural powers, and epic adventures. These books offer readers an escape from reality into fantastical realms filled with unique characters and imaginative settings, making them popular for entertainment and exploration of complex themes through allegory and metaphor.",FAN00013,fantasy,https://covers.openlibrary.org/b/olid/OL29546376M-M.jpg
Witch Wood,John Buchan,Historical fiction books are novels set in a specific historical period or featuring real historical events. They blend factual elements with imaginative storytelling to create captivating narratives that transport readers to the past. These books offer a unique way to learn about history while enjoying compelling characters and stories that reflect the time and place in which they are set.,HF000001,historical_fiction,https://covers.openlibrary.org/b/olid/OL22367516M-M.jpg
The Path of the King,John Buchan,Historical fiction books are novels set in a specific historical period or featuring real historical events. They blend factual elements with imaginative storytelling to create captivating narratives that transport readers to the past. These books offer a unique way to learn about history while enjoying compelling characters and stories that reflect the time and place in which they are set.,HF000002,historical_fiction,https://covers.openlibrary.org/b/olid/OL6641029M-M.jpg
In the days of Drake,Joseph Smith Fletcher,Historical fiction books are novels set in a specific historical period or featuring real historical events. They blend factual elements with imaginative storytelling to create captivating narratives that transport readers to the past. These books offer a unique way to learn about history while enjoying compelling characters and stories that reflect the time and place in which they are set.,HF000003,historical_fiction,https://covers.openlibrary.org/b/olid/OL6977359M-M.jpg
The great shadow,Arthur Conan Doyle,Historical fiction books are novels set in a specific historical period or featuring real historical events. They blend factual elements with imaginative storytelling to create captivating narratives that transport readers to the past. These books offer a unique way to learn about history while enjoying compelling characters and stories that reflect the time and place in which they are set.,HF000004,historical_fiction,https://covers.openlibrary.org/b/olid/OL46835356M-M.jpg
The free fishers,John Buchan,Historical fiction books are novels set in a specific historical period or featuring real historical events. They blend factual elements with imaginative storytelling to create captivating narratives that transport readers to the past. These books offer a unique way to learn about history while enjoying compelling characters and stories that reflect the time and place in which they are set.,HF000005,historical_fiction,https://covers.openlibrary.org/b/olid/OL32994503M-M.jpg
Children of the Frost,Jack London,Historical fiction books are novels set in a specific historical period or featuring real historical events. They blend factual elements with imaginative storytelling to create captivating narratives that transport readers to the past. These books offer a unique way to learn about history while enjoying compelling characters and stories that reflect the time and place in which they are set.,HF000006,historical_fiction,https://covers.openlibrary.org/b/olid/OL34892321M-M.jpg
To Have and To Hold,Mary Johnston,Historical fiction books are novels set in a specific historical period or featuring real historical events. They blend factual elements with imaginative storytelling to create captivating narratives that transport readers to the past. These books offer a unique way to learn about history while enjoying compelling characters and stories that reflect the time and place in which they are set.,HF000007,historical_fiction,https://covers.openlibrary.org/b/olid/OL32446157M-M.jpg
Three Musketeers,Alexandre Dumas,Historical fiction books are novels set in a specific historical period or featuring real historical events. They blend factual elements with imaginative storytelling to create captivating narratives that transport readers to the past. These books offer a unique way to learn about history while enjoying compelling characters and stories that reflect the time and place in which they are set.,HF000008,historical_fiction,https://covers.openlibrary.org/b/olid/OL34885136M-M.jpg
Midwinter: certain travellers in old England,John Buchan,Historical fiction books are novels set in a specific historical period or featuring real historical events. They blend factual elements with imaginative storytelling to create captivating narratives that transport readers to the past. These books offer a unique way to learn about history while enjoying compelling characters and stories that reflect the time and place in which they are set.,HF000009,historical_fiction,https://covers.openlibrary.org/b/olid/OL6656313M-M.jpg
The last days of Pompeii,"Edward Bulwer Lytton, Baron Lytton",Historical fiction books are novels set in a specific historical period or featuring real historical events. They blend factual elements with imaginative storytelling to create captivating narratives that transport readers to the past. These books offer a unique way to learn about history while enjoying compelling characters and stories that reflect the time and place in which they are set.,HF000010,historical_fiction,https://covers.openlibrary.org/b/olid/OL26553266M-M.jpg
The Damned,Algernon Blackwood,"Horror books are a genre of literature that aims to evoke fear, suspense, and a sense of dread in readers. They often feature elements of the supernatural, the macabre, or psychological terror. Horror books can range from classic tales like ""Dracula"" by Bram Stoker to contemporary works like Stephen King's ""The Shining."" They are designed to entertain and thrill readers with spine-chilling narratives and unsettling themes.",HO000001,horror,https://covers.openlibrary.org/b/olid/OL11824017M-M.jpg
The Power of Darkness,Edith Nesbit,"Horror books are a genre of literature that aims to evoke fear, suspense, and a sense of dread in readers. They often feature elements of the supernatural, the macabre, or psychological terror. Horror books can range from classic tales like ""Dracula"" by Bram Stoker to contemporary works like Stephen King's ""The Shining."" They are designed to entertain and thrill readers with spine-chilling narratives and unsettling themes.",HO000002,horror,https://covers.openlibrary.org/b/olid/OL8914289M-M.jpg
